Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Dominica,0.192834918,0.184048863,0.176367772,0.179179601,0.18568991,0.215755465,0.186814066,0.197691837,0.179819449,0.185044619,0.225095531,0.236145662,0.22328718,0.23556627,0.215643507,0.214467947,0.192686295,0.23904142,0.1876231,0.188407487,0.195270596,0.176569336,0.185106413,0.178079558,0.172075628
Dominican Republic,0.361498651,0.376955849,0.360409592,0.353126076,0.357358959,0.42172702,0.426235531,0.399803546,0.378628758,0.355472447,0.354198372,0.338714841,0.343483803,0.344759314,0.27854993,0.251310475,0.237144793,0.230100587,0.213919045,0.205395513,0.194773488,0.18679854,0.18595554,0.168880952,0.154697827
Ecuador,0.33964563,0.308838764,0.399356616,0.415620611,0.220137354,0.352803295,0.360681727,0.257946613,0.302160702,0.299253198,0.279076902,0.292934252,0.298995822,0.308863095,0.2993735,0.287297012,0.254701279,0.268197564,0.262715756,0.27610173,0.266495692,0.256264322,0.235119911,0.236664278,0.239744446
Egypt  Arab Rep.,0.35348532,0.350459819,0.338599956,0.368477764,0.317771351,0.333732533,0.332727138,0.328811979,0.347946246,0.33175005,0.343826469,0.288457719,0.281187792,0.311201973,0.296931106,0.305399967,0.296321995,0.285323098,0.274301329,0.270742145,0.249574711,0.257350652,0.246900571,0.233453614,0.210611914
El Salvador,0.162787469,0.195911848,0.187262178,0.197700412,0.223840046,0.229044695,0.202760794,0.231576684,0.236824652,0.224047473,0.21838163,0.219411157,0.215910527,0.226454654,0.212332955,0.203262249,0.200575457,0.195458114,0.176094225,0.175680685,0.169731542,0.164877456,0.157693516,0.141740702,0.137975926
Equatorial Guinea,0.238414455,0.504827676,0.403875241,0.223110486,0.062411937,0.202345634,0.105653648,0.105884346,0.04818649,0.106679272,0.086184325,0.351339946,0.465839482,0.484975142,0.296758529,0.222601342,0.202479655,0.172494325,0.134851859,0.13549883,0.148929662,0.179341701,0.135627801,0.140330971,0.142026668
Eritrea,,,,,0.253152741,0.260470697,0.253390924,0.197384242,0.130838267,0.135366609,0.134275184,0.125182087,0.114768267,0.138899421,0.14140265,0.133052715,0.095466494,0.094656707,0.073606814,0.08712685,0.084274162,0.087892952,,,
Estonia,,,,2.316691127,2.251078968,1.940797704,1.899130936,1.649862728,1.406587628,1.30304017,1.128962302,1.088707875,0.931228861,0.956268349,0.879645938,0.74878345,0.62363557,0.635344224,0.57720666,0.532344742,0.630149339,0.571107625,0.512019073,0.54894762,0.512661485
Eswatini,0.141497398,0.103194811,0.079072287,0.037457625,0.131320514,0.115265806,0.081753875,0.274918307,0.267382256,0.2614362,0.240887673,0.224617923,0.208446563,0.182242885,0.1694498,0.153375884,0.139949252,0.136624555,0.137050808,0.127647614,0.120712347,0.116869504,0.125967875,0.10501164,0.111662896
Ethiopia,0.148346136,0.152832753,0.162612081,0.143346677,0.100608605,0.106226005,0.103538222,0.105269572,0.113788301,0.104597495,0.108439157,0.120144762,0.121024252,0.13395118,0.121944928,0.102245845,0.096275855,0.091910265,0.089018721,0.081831397,0.071391899,0.073791881,0.073851564,0.08151357,0.07913769
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,0.292248825,0.239493736,0.246020763,0.236467979,0.219214726,0.213583043,0.21553114,0.208906431,0.198265491,0.183057361,0.19576999,0.2351731,0.189280548,0.216547458,0.258373247,0.201623565,0.21334814,0.199450711,0.149523508,0.133209962,0.197174054,0.16772247,0.157905037,0.160984398,0.151994134
