Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Benin,0.149770628,0.161323718,0.167560376,0.195056285,0.209005318,0.202555266,0.181714051,0.162579173,0.154178406,0.185686506,0.175599696,0.185210556,0.199577495,0.214470101,0.213072099,0.193950842,0.292875261,0.312425311,0.286695721,0.293766885,0.310560536,0.307372719,0.297294679,0.289560328,0.290476145
Bermuda,0.321785008,0.346215196,0.290317199,0.321200755,0.308357638,0.289298041,0.274985926,0.256641704,0.242551084,0.228018315,0.205480621,0.191516247,0.201993237,0.193031365,0.190910651,0.182094891,0.187473523,0.198460306,0.170546173,0.13124756,0.16920602,0.124987186,0.138450291,0.134199286,
Bhutan,0.158312532,0.224051848,0.242275164,0.196659585,0.212817942,0.228240333,0.256033344,0.311679727,0.282841967,0.260684367,0.245265226,0.215643393,0.208151302,0.171493775,0.128609095,0.149697176,0.134726795,0.111258357,0.1119567,0.096021736,0.106588622,0.14552104,0.151518132,0.164086027,0.165637699
Bolivia,0.349042385,0.334624868,0.356650178,0.39304078,0.405549194,0.432802568,0.406348645,0.423777488,0.400732301,0.373793768,0.377966009,0.283342297,0.328196088,0.334731074,0.313518145,0.319224214,0.365332106,0.278676,0.276439158,0.280510236,0.289394266,0.286152879,0.310883953,0.287978145,0.289139535
Bosnia and Herzegovina,,,,,0.861238814,0.741105604,0.478251183,0.689729732,0.744666997,0.656092273,0.808187734,0.748905096,0.740605586,0.716720688,0.668816991,0.664170728,0.629841849,0.572922558,0.594565593,0.613677135,0.614250905,0.653974726,0.599225863,0.561691126,0.558455281
Botswana,0.380697978,0.334315452,0.334829154,0.36919692,0.330821804,0.304207688,0.255445871,0.235514167,0.276780317,0.235150112,0.269741142,0.26814395,0.257159189,0.232189372,0.224151955,0.218468685,0.197611816,0.181828491,0.178785062,0.160399269,0.181915688,0.149754784,0.142520866,0.155443368,0.197017742
Brazil,0.208896264,0.209005397,0.206594291,0.201582678,0.196642549,0.19679212,0.208427155,0.209136233,0.21416404,0.21543766,0.206793654,0.205331499,0.193141619,0.181474746,0.175511408,0.169557839,0.158469151,0.151997423,0.15140798,0.142501316,0.149768201,0.147704047,0.152100021,0.155504921,0.159730474
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,0.435576847,0.350193154,0.320968931,0.297860087,0.26708957,0.255475985,0.247971053,0.25709497,0.266221339,0.188912498,0.216572416,0.197275112,0.181639417,0.181713312,0.191670838,0.185434938,0.167480297,0.281851045,0.305529466,0.26609426,0.267486806,0.298504432,0.289359705,0.234553361,0.275174782
Bulgaria,1.140106207,0.930729259,0.924331506,1.147397793,0.880604974,0.898033684,0.997633611,1.090069146,0.966310611,0.92882598,0.835397038,0.839504316,0.737112541,0.729264686,0.664802394,0.612683799,0.569703996,0.541012191,0.472615278,0.405140757,0.399414388,0.428382319,0.377551941,0.328929294,0.334862876
Burkina Faso,0.120772437,0.115190765,0.113019775,0.106089931,0.105521447,0.0949882,0.094835308,0.099955867,0.098392442,0.097606983,0.104840666,0.092160662,0.087580323,0.085582198,0.081665433,0.074338091,0.082064889,0.091543461,0.09748521,0.094683072,0.090168171,0.093362314,0.102321413,0.110561208,0.096899621
