GrainID	O11	O12	O13	O21	O22	O23	O31	O32	O33	X	Y	Z	a	b	c	alpha	beta	gamma	DiffPos	DiffOme	DiffAngle	GrainRadius	Confidence	eFab11	eFab12	eFab13	eFab21	eFab22	eFab23	eFab31	eFab32	eFab33	eKen11	eKen12	eKen13	eKen21	eKen22	eKen23	eKen31	eKen32	eKen33	RMSErrorStrain	PhaseNr	Eul0	Eul1	Eul2
10155	0.357781	-0.121286	0.925901	-0.305431	0.921792	0.238774	-0.882448	-0.368227	0.292755	374.681813	374.113225	-33.761119	2.928525	2.927178	4.682056	89.909079	89.983080	119.936359	269.255025	0.128110	0.136969	35.787888	0.803191	6.902073	757.164074	-96.136532	757.164074	2050.115204	-353.607023	-96.136532	-353.607023	971.639934	-758.692292	-418.225586	8.814170	-418.225586	1177.554085	-288.181115	8.814170	-288.181115	1041.842935	1233.787984	1.000000	285.526391	86.887251	67.810028	
10042	0.212794	-0.229372	0.949793	-0.024321	0.970512	0.239825	-0.976794	-0.074133	0.200940	380.552489	-105.370863	16.842018	2.931405	2.928531	4.678323	89.910035	89.955986	120.108363	475.772677	0.273031	0.298172	43.459147	0.804348	374.898868	-750.600996	-721.666696	-750.600996	681.343430	-1598.217177	-721.666696	-1598.217177	883.466765	-381.238182	-774.581005	-497.839277	-774.581005	507.274454	713.249059	-497.839277	713.249059	1508.644316	2019.367139	1.000000	0.000000	0.000000	0.000000	
10043	0.245044	-0.214974	-0.945378	-0.518970	0.794558	-0.315196	0.818916	0.567860	0.083137	262.481259	142.628307	226.995988	2.926743	2.925610	4.670536	90.128925	89.925590	119.899547	148.122997	0.117074	0.106519	53.571630	0.934783	-1209.881370	-1804.256476	-215.465680	-1804.256476	462.971442	-967.122042	-215.465680	-967.122042	537.746528	-679.746650	-1283.254686	87.025185	-1283.254686	770.137248	-451.558234	87.025185	-451.558234	872.228629	374.918253	1.000000	0.000000	0.000000	0.000000	
10044	0.019185	-0.253678	-0.967098	0.066470	0.965460	-0.251930	0.997604	-0.059450	0.035384	426.485629	-214.459527	-100.867165	2.927486	2.925764	4.675294	90.007863	89.994313	119.926553	258.865556	0.134299	0.152212	48.900922	0.888889	-962.081834	-247.687558	-71.584935	-247.687558	279.949263	544.144512	-71.584935	544.144512	1527.350035	-779.478010	-618.354568	226.187278	-618.354568	489.066491	682.165443	226.187278	682.165443	1618.482723	1929.901644	1.000000	0.000000	0.000000	0.000000	
10046	0.501575	0.018927	0.864912	-0.530950	0.796059	0.290491	-0.683024	-0.604925	0.409332	-303.877664	-138.153333	201.583414	2.926144	2.928789	4.677315	90.033950	90.089425	120.082380	214.954610	0.136764	0.141005	40.157436	0.803191	-400.510347	-1348.919685	199.251069	-1348.919685	79.555128	653.974305	199.251069	653.974305	599.689179	-338.331099	-751.796216	-380.094304	-751.796216	857.829189	145.472055	-380.094304	145.472055	853.409516	948.850872	1.000000	105.112714	63.653247	278.275182	
10047	0.363913	-0.168407	0.916082	-0.131124	0.964462	0.229390	-0.922157	-0.203598	0.328898	337.401127	278.034701	179.127738	2.927297	2.929217	4.671551	89.889025	90.110536	119.953135	241.508170	0.133608	0.152119	46.233233	0.851064	-1304.892062	-1696.105347	-328.228403	-1696.105347	1021.857077	129.572525	-328.228403	129.572525	1174.331799	-350.831572	-1473.975702	-55.091535	-1473.975702	421.836108	321.218795	-55.091535	321.218795	1339.640526	1258.089231	1.000000	285.158145	83.485882	85.909411	
10162	0.214404	-0.229462	0.949409	-0.021358	0.970680	0.239427	-0.976512	-0.071612	0.203216	401.733955	-211.783036	9.111459	2.927456	2.926310	4.673650	89.954727	90.080695	119.966743	209.236154	0.120817	0.123592	46.942523	0.842391	-1573.560117	-51.239099	8.946859	-51.239099	526.776986	-30.282503	8.946859	-30.282503	1311.855194	-566.169124	-838.629700	-278.178018	-838.629700	1040.241294	655.631777	-278.178018	655.631777	1511.309803	912.384345	1.000000	109.454442	85.288377	267.791141	
10049	0.012957	-0.246663	-0.969015	0.167356	0.955961	-0.241102	0.985811	-0.159047	0.053667	412.422796	-283.537446	-33.474621	2.928568	2.930541	4.677778	89.921945	90.063017	120.032742	137.811661	0.132702	0.109430	79.431744	1.000000	2.383848	-1104.499913	459.559877	-1104.499913	1403.507716	-101.866980	459.559877	-101.866980	901.966377	-833.599549	-727.737549	152.244897	-727.737549	1380.676394	557.120628	152.244897	557.120628	918.337168	697.754802	1.000000	0.000000	0.000000	0.000000	
10051	0.050768	-0.307117	-0.950317	-0.206308	0.927795	-0.310860	0.977169	0.211840	-0.016259	-221.007845	-150.729382	-107.418704	2.929225	2.928967	4.673548	90.059015	90.015836	120.010996	199.235774	0.139512	0.147149	57.248158	0.994681	-772.455857	-1281.987988	245.335434	-1281.987988	687.542273	191.754148	245.335434	191.754148	1394.769539	-588.489627	-877.691941	0.625846	-877.691941	1039.531360	-30.781510	0.625846	-30.781510	1107.916769	810.120553	1.000000	0.000000	0.000000	0.000000	
10052	0.420834	-0.061161	0.905074	-0.340661	0.914045	0.220165	-0.840743	-0.400976	0.363826	17.810205	-31.560894	46.004122	2.929205	2.929962	4.676755	90.005462	89.968986	120.046136	127.592245	0.113798	0.110659	79.167674	1.000000	-194.377312	-261.830829	-760.800522	-261.830829	1268.396603	-683.064824	-760.800522	-683.064824	900.460909	-451.145522	-248.685605	-243.738344	-248.685605	1289.370584	-665.731206	-243.738344	-665.731206	1232.043946	279.565801	1.000000	0.000000	0.000000	0.000000	
